"","X","SITE","YEAR","TEMP","pH","SAL","DO","Secchi","NO3","NH4","SRP","Si"
"58",520163,3,7,14.93,6.96,28,8.9,1.75,900,270,19,0
"59",420164,4,7,7.69,7.39,35.1,11.23,1.5,600,274,20,1600
"60",520164,4,7,15,7.58,28.8,9.1,3,800,334,5,0
"61",720164,4,7,24.89,NA,25.4,8.56,2,1200,322,47,4800
"62",520165,5,7,14.8,7.5,29.2,9.81,3,1100,112,2,0
"63",620165,5,7,20.21,6.77,27.5,11.38,1.5,1100,214,22,3500
"64",820165,5,7,25.36,7.74,22.8,7.46,2,1200,170,51,3000
"65",920165,5,7,23.14,8.15,26.57686273,8.99,1.75,700,492,68,5000
"66",420166,6,7,7.08,5.93,40.2,11.9,3,500,24,NA,0
"67",720166,6,7,24.52,NA,25.3,11.5,1.1,1500,196,32,3300
"68",820166,6,7,24.72,7.77,27.8,5.69,2,1000,314,42,1600
"69",1020166,6,7,17.26,7.9,27.01316062,9.34,3,1000,176,20,2100
"70",720172,2,8,22.82,7.53,22.91334212,7.78,3.5,1100,62,31,4800
"71",820172,2,8,25.89,6.58,18.47573375,7.48,2.5,1100,44,40,6800
"72",420173,3,8,12.82,7.77,18.10044575,12.34,3,800,940,13,4200
"73",620174,4,8,21.39,7.03,21.24373924,12.28,3,900,24,24,4800
"74",1020174,4,8,20.07,7.08,26.04283443,10.23,2.3,300,220,55,5500
"75",820175,5,8,24.74,6.51,22.22625737,8.01,1.5,1200,38,32,6600
"76",920176,6,8,21.66,7.11,25.55875682,6.81,2.5,1100,144,29,18800
"77",520186,6,9,15.75,8.27,19.68761081,12.57,1.5,1000,236,11,1700
"78",720186,6,9,25.02,6.57,25.36953564,8.51,2,900,237,71,7400
"79",620191,1,10,21.34,6.02,16.55828917,6.99,1.25,1600,NA,20,7500
"80",1120192,2,10,14.58,7.19,15.2090771,9.04,NA,900,460,540,16200
"81",620193,3,10,21.97,5.77,18.926892,NA,2,1800,NA,34,2000
"82",720193,3,10,24.23,6.32,21.7553085,NA,1.25,400,820,28,800
"83",820193,3,10,26.2,7.07,23.40712887,NA,3,1000,140,490,2100
"84",920194,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1020194,4,10,18.57,7.2,25.71302072,8.12,3,1100,1380,1190,2200
"86",520195,5,10,15.67,6.71,14.42419329,10.02,0.5,500,142,13,1600
"87",720195,5,10,24.49,7.1,22.70495663,NA,1.5,0,2040,10,500
"88",1120195,5,10,13.58,6.72,19.5229267,9.38,NA,900,520,NA,14700
"89",520196,6,10,15.08,6.47,15.40413435,9.48,1.5,800,20,10,1600
"90",1020196,6,10,18.5,7.75,27.47823242,8.11,NA,1100,2420,470,2400
"91",720211,1,12,24.78,7.09,20.14106348,7.91,NA,1000,3560,710,8800
"92",920211,1,12,23.08,7.19,17.61010905,NA,1.5,700,5360,300,11700
"93",820212,2,12,23.06,7.03,20.68491675,6.53,3,800,6160,620,6300
"94",820213,3,12,23.4,7.49,20.20984083,7.15,2.5,1100,5360,1060,5000
"95",620214,4,12,NA,NA,NA,NA,1.5,500,2770,270,3300
"96",1020214,4,12,19.8,6.84,23.46978202,NA,4,200,2600,430,2900
"97",720215,5,12,24.69,7.36,23.99938849,7.03,2,90,5400,610,9700
"98",820215,5,12,23.46,7.47,20.12731028,14.6,0.75,900,4320,380,13300
"99",920215,5,12,23.2,7.5,21.33353822,NA,3,600,1300,440,5100
"100",820216,6,12,23.29,7.46,21.74146943,12.52,0.5,900,5280,960,10500
